datetime,t,rh,p,t_det,rh_det,p_det,t_tap,rh_tap,p_tap
2023-07-08 14:41:50,40.95,17.367,1005.549,3.6159998830752826,-2.671565500377671,0.17552756236807454,3.6159998830752826,-2.671565500377671,0.17552756236807454
2023-07-08 14:41:51,40.96,17.453,1005.63,3.626220032358056,-2.585599179399935,0.2565947852649515,3.626220032358056,-2.585599179399935,0.2565947852649515
2023-07-08 14:41:52,40.94,17.324,1005.595,3.606440181640835,-2.714632858422192,0.22166200816172932,3.606440181640835,-2.714632858422192,0.22166200816172932
2023-07-08 14:41:53,40.9,17.398,1005.554,3.566660330923611,-2.6406665374444565,0.18072923105853533,3.566660330923611,-2.6406665374444565,0.18072923105853533
2023-07-08 14:41:54,40.94,17.42,1005.595,3.6068804802063923,-2.618700216466717,0.22179645395544867,3.6068804802063923,-2.618700216466717,0.22179645395544867
2023-07-08 14:41:55,41.01,17.251,1005.56,3.6771006294891677,-2.78773389548898,0.1868636768522265,3.6771006294891677,-2.78773389548898,0.1868636768522265
2023-07-08 14:41:56,41.04,17.274,1005.537,3.707320778771944,-2.764767574511243,0.1639308997491753,3.707320778771944,-2.764767574511243,0.1639308997491753
2023-07-08 14:41:57,41.06,17.392,1005.563,3.7275409280547294,-2.646801253533507,0.1899981226459886,3.7275409280547294,-2.646801253533507,0.1899981226459886
2023-07-08 14:41:58,41.06,17.393,1005.516,3.7277610773375045,-2.6458349325557684,0.1430653455427091,3.7277610773375045,-2.6458349325557684,0.1430653455427091
2023-07-08 14:41:59,41.06,17.253,1005.535,3.7279812266202796,-2.7858686115780316,0.16213256843957424,3.7279812266202796,-2.7858686115780316,0.16213256843957424
2023-07-08 14:42:00,41.07,17.168,1005.617,3.73820137590306,-2.870902290600295,0.24419979133642755,3.73820137590306,-2.870902290600295,0.24419979133642755
2023-07-08 14:42:01,41.08,17.254,1005.55,3.748421525185833,-2.7849359696225555,0.17726701423327995,3.748421525185833,-2.7849359696225555,0.17726701423327995
2023-07-08 14:42:02,40.95,17.474,1005.521,3.6186416744686127,-2.5649696486448192,0.14833423713014326,3.6186416744686127,-2.5649696486448192,0.14833423713014326
2023-07-08 14:42:03,40.78,17.521,1005.514,3.4488618237513933,-2.5180033276670812,0.14140146002705478,3.4488618237513933,-2.5180033276670812,0.14140146002705478
2023-07-08 14:42:04,40.69,17.764,1005.498,3.359081973034165,-2.2750370066893453,0.12546868292383806,3.359081973034165,-2.2750370066893453,0.12546868292383806
2023-07-08 14:42:05,40.65,17.741,1005.54,3.319302122316941,-2.2980706857116076,0.16753590582061406,3.319302122316941,-2.2980706857116076,0.16753590582061406
2023-07-08 14:42:06,40.64,17.569,1005.476,3.3095222715997252,-2.4701043647338707,0.10360312871750921,3.3095222715997252,-2.4701043647338707,0.10360312871750921
2023-07-08 14:42:07,40.51,17.565,1005.482,3.179742420882498,-2.474138043756131,0.10967035161434069,3.179742420882498,-2.474138043756131,0.10967035161434069
